Study,Authors,Year (online),Year (print),Title,,Journal,Pub year IF,2017 IF,Average n,Effect type,Species,Climate (FishBase),Env cue/stimulus?,Cue/stimulus type,Behavioural metric,Life stage,ctrl.n,ctrl.mean,ctrl.var,ctrl.vartype,ctrl.sd,oa.n,oa.mean,oa.var,oa.vartype,oa.sd,lnRR,|lnRR|,Raw mean |lnRR|,Notes,Precise sample size description in text?,Sample size source
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 6 dph, 700ppm (Fig 1)",Larvae,22,9.6200,2.2780,SD,2.2780,22,41.5190,35.9490,SD,35.9490,1.4623,1.4623,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 6 dph, 850ppm (Fig 1)",Larvae,22,9.6200,2.2780,SD,2.2780,22,87.0890,4.0510,SD,4.0510,2.2031,2.2031,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 8 dph, 550ppm (Fig 1)",Larvae,18,0.0001,0.0001,SD,0.0001,22,0.0001,0.0001,SD,0.0001,0.0000,0.0000,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 8 dph, 700ppm (Fig 1)",Larvae,18,0.0001,0.0001,SD,0.0001,22,43.5440,42.5320,SD,42.5320,12.9841,12.9841,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 8 dph, 850ppm (Fig 1)",Larvae,18,0.0001,0.0001,SD,0.0001,22,98.4810,2.5320,SD,2.5320,13.8002,13.8002,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 10 dph, 550ppm (Fig 1)",Larvae,25,0.0001,0.0001,SD,0.0001,25,0.0001,0.0001,SD,0.0001,0.0000,0.0000,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 10 dph, 700ppm (Fig 1)",Larvae,25,0.0001,0.0001,SD,0.0001,25,44.3370,42.8920,SD,42.8920,13.0022,13.0022,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 10 dph,850ppm (Fig 1)",Larvae,25,0.0001,0.0001,SD,0.0001,25,93.7350,4.3370,SD,4.3370,13.7508,13.7508,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 1, 550ppm (Fig 2a)",Larvae,10,0.0001,0.0001,SD,0.0001,10,0.0001,0.0001,SD,0.0001,0.0000,0.0000,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 1, 700ppm (Fig 2a)",Larvae,10,0.0001,0.0001,SD,0.0001,10,0.0001,0.0001,SD,0.0001,0.0000,0.0000,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 1, 850ppm (Fig 2a)",Larvae,10,0.0001,0.0001,SD,0.0001,10,0.5630,0.5630,SD,0.5630,8.6359,8.6359,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 2, 550ppm (Fig 2a)",Larvae,10,0.0001,0.0001,SD,0.0001,10,0.0001,0.0001,SD,0.0001,0.0000,0.0000,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 2, 700ppm (Fig 2a)",Larvae,10,0.0001,0.0001,SD,0.0001,10,7.3240,20.5630,SD,20.5630,11.2015,11.2015,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 2, 850ppm (Fig 2a)",Larvae,10,0.0001,0.0001,SD,0.0001,10,79.4370,7.0420,SD,7.0420,13.5853,13.5853,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 3, 550ppm (Fig 2a)",Larvae,10,0.0001,0.0001,SD,0.0001,10,0.0001,0.0001,SD,0.0001,0.0000,0.0000,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 3, 700ppm (Fig 2a)",Larvae,10,0.0001,0.0001,SD,0.0001,10,12.3940,16.3380,SD,16.3380,11.7276,11.7276,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 3, 850ppm (Fig 2a)",Larvae,10,0.0001,0.0001,SD,0.0001,10,86.4790,5.0700,SD,5.0700,13.6702,13.6702,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 4, 550ppm (Fig 2a)",Larvae,10,0.0001,0.0001,SD,0.0001,10,0.0001,0.0001,SD,0.0001,0.0000,0.0000,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 4, 700ppm (Fig 2a)",Larvae,10,0.0001,0.0001,SD,0.0001,10,48.1870,40.9330,SD,40.9330,13.0854,13.0854,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 4, 850ppm (Fig 2a)",Larvae,10,0.0001,0.0001,SD,0.0001,10,89.1190,2.0730,SD,2.0730,13.7003,13.7003,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 1, 550ppm (Fig 2b)",Larvae,10,1.9720,3.6620,SD,3.6620,10,3.9440,3.1690,SD,3.1690,0.6931,0.6931,,,,
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification, ,PNAS,9.771,9.504,,,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 1, 700ppm (Fig 2b)",Larvae,10,1.9720,3.6620,SD,3.6620,10,2.8170,2.2540,SD,2.2540,0.3566,0.3566,,,,
